"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Unforeseen Incidents","0","0","8","0","1.37","1.37","0.17","0.17","0.0","1.33","3.19","15","0.59","2018-05-15","501790"
"The Forgotten Void","0","0","6","0","1.43","1.43","0.24","N/A","0.0","0.76","2.61","17","0.63","2018-05-15","600290"
"Tenta Shooter / The 触シュー","0","0","9","0","2.58","2.58","0.29","N/A","0.0","0.00","6.58","16","1.26","2018-05-15","704910"
"Spartan Fist","0","0","5","0","0.70","0.70","0.14","0.39","-178.6","0.00","0.72","11","0.37","2018-05-15","632170"
"Sakura no Mori † Dreamers","0","0","7","0","1.25","1.25","0.18","0.17","5.6","0.10","6.24","61","0.63","2018-05-15","749520"
"Forgotton Anne","0","0","15","0","1.16","1.16","0.08","0.11","-37.5","0.93","9.38","38","0.56","2018-05-15","542050"
"Horizon Chase Turbo","0","0","15","0","1.33","1.33","0.09","0.20","-122.2","11.38","1.85","32","0.63","2018-05-15","389140"
"'n Verlore Verstand","0","0","6","0","0.31","0.31","0.05","0.05","0.0","0.10","0.04","326","0.13","2018-05-15","439550"
"Door Kickers: Action Squad","0","0","5","0","0.46","0.46","0.09","0.10","-11.1","1.34","1.52","43","0.23","2018-05-15","686200"
"Proto Raider","0","0","5","0","0.35","0.35","0.07","0.04","42.9","0.44","0.04","65","0.18","2018-05-15","386050"
"Pillars of Eternity II: Deadfire","0","0","11","0","0.97","0.97","0.09","0.10","-11.1","0.12","0.29","299","0.47","2018-05-15","560130"
"Soul Smith of the Kingdom","0","0","9","0","1.10","1.10","0.12","0.25","-108.3","1.18","4.22","45","0.52","2018-05-15","817660"
"These nights in Cairo","0","0","5","0","0.44","0.44","0.09","0.10","-11.1","0.21","1.19","146","0.23","2018-05-15","612100"
"Conan Exiles","0","0","10","0","0.51","0.51","0.05","0.09","-80.0","0.07","0.07","1448","0.22","2018-05-04","440900"
"Starship Corporation","0","0","11","0","0.55","0.55","0.05","0.09","-80.0","0.19","0.38","70","0.26","2018-05-04","292330"
"Ruler by Default","0","0","6","0","2.12","2.12","0.35","N/A","0.0","2.91","2.85","18","0.91","2018-05-04","366920"
"Pirate Code","0","0","6","0","0.51","0.51","0.09","0.24","-166.7","2.38","0.42","20","0.23","2018-05-04","370120"
"Luna and the Moonling","0","0","8","0","2.70","2.70","0.34","N/A","0.0","0.00","0.00","4","1.18","2018-05-03","577360"
"FAR: Lone Sails","0","0","5","0","0.61","0.61","0.12","0.12","0.0","0.27","0.33","102","0.31","2018-05-03","609320"
"Block Party Sports","0","0","5","0","2.06","2.06","0.41","N/A","0.0","0.00","0.00","12","1.07","2018-05-03","384230"
"Total War Saga: Thrones of Britannia","0","0","13","0","1.00","1.00","0.08","0.12","-50.0","0.08","0.09","322","0.49","2018-05-03","712100"
"Wildlife Park 2 - Farm World","0","0","6","0","0.99","0.99","0.17","N/A","0.0","2.36","0.88","20","0.44","2018-05-02","307920"
"War Heroes: Invasion","0","0","5","0","0.69","0.69","0.14","N/A","0.0","1.32","1.67","7","0.37","2018-05-02","622700"
"Harvest Life","0","0","5","0","0.50","0.50","0.10","N/A","0.0","1.59","0.87","29","0.26","2018-05-02","649790"
"Grisaia Phantom Trigger Vol.3","0","0","8","0","1.32","1.32","0.17","0.20","-17.6","0.40","7.05","46","0.59","2018-05-01","658530"
"Vantage: Primitive Survival Game","0","0","10","0","5.02","5.02","0.50","N/A","0.0","0.00","0.00","4","2.17","2018-04-30","342910"
"NEKO-NIN exHeart 2","0","0","5","0","1.16","1.16","0.23","0.29","-26.1","1.77","1.44","47","0.60","2018-04-27","828580"
"Mini Golf Arena","0","0","5","0","2.00","2.00","0.40","N/A","0.0","0.00","0.00","13","1.04","2018-04-27","485670"
"Apocryph","0","0","6","0","0.96","0.96","0.16","N/A","0.0","1.74","2.61","8","0.42","2018-04-27","596240"
"Empire Architect","0","0","6","0","1.17","1.17","0.20","N/A","0.0","1.00","2.58","24","0.52","2018-04-27","593490"
"Tower of Time","0","0","9","0","0.59","0.59","0.07","0.25","-257.1","0.83","0.86","74","0.30","2018-04-27","617480"
"Moe Jigsaw","0","0","6","0","1.12","1.12","0.19","0.24","-26.3","0.89","0.87","53","0.50","2018-04-27","785840"
"Warriors: Rise to Glory!","0","0","7","0","0.50","0.50","0.07","0.22","-214.3","3.47","0.34","37","0.24","2018-04-26","582330"
"Vigilantes","0","0","7","0","0.87","0.87","0.12","N/A","0.0","0.00","2.59","18","0.42","2018-04-26","545600"
"EARTH DEFENSE FORCE 4.1  WINGDIVER THE SHOOTER","0","0","6","0","6.20","6.20","1.03","0.27","73.8","0.00","0.00","14","2.69","2018-04-26","574200"
"Light Fall","0","0","9","0","1.29","1.29","0.14","0.22","-57.1","0.00","0.00","14","0.61","2018-04-25","416830"
"Changed","0","0","8","0","1.48","1.48","0.18","0.24","-33.3","1.38","3.98","108","0.63","2018-04-25","814540"
"Top Punch","0","0","5","0","1.15","1.15","0.23","N/A","0.0","0.00","0.00","0","0.20","2018-04-25","630130"
"Otaku's Fantasy 2","0","0","6","0","0.79","0.79","0.13","0.11","15.4","0.42","0.41","111","0.34","2018-04-25","788130"
"Puzzle With Your Friends","0","0","5","0","1.36","1.36","0.27","N/A","0.0","2.40","0.09","14","0.70","2018-04-24","620650"
"Mount & Blade: With Fire and Sword","0","0","5","0","0.27","0.27","0.05","0.04","20.0","0.05","0.05","1107","0.13","2018-04-24","48720"
"AIdol","0","0","7","0","2.60","2.60","0.37","N/A","0.0","2.51","0.81","22","1.29","2018-04-24","829210"
"Courtyard Broomball","0","0","8","0","1.98","1.98","0.25","N/A","0.0","0.00","0.00","7","0.87","2018-04-24","592400"
"Frostpunk","0","0","6","0","0.72","0.72","0.12","0.09","25.0","0.07","0.06","854","0.31","2018-04-24","323190"
"Zup! 8","0","0","6","0","1.43","1.43","0.24","0.20","16.7","0.06","2.20","58","0.63","2018-04-24","799070"
"Escape from Pleasure Planet","0","0","8","0","1.89","1.89","0.24","0.58","-141.7","3.67","3.67","8","0.83","2018-04-23","504410"
